Final Event Number,Date & Time Reported,Date and Time Occurred,Log Type,category,Location,State,Status,Remarks
2013-0006244,5/8/13,5/8/2013  9:14:00AM,HAZARDOUS CONDITION,Other, 14 DIVINITY AVE,MA,CLOSED,Officer dispatched to a report of a vehicle leaking gasoline. Officer reports EH&S arrived and secured the area and reports all is in order.
2013-0006246,5/8/13,5/8/2013  9:00:00AM To  9:25:00AM,THEFT REPORT,Theft,NRB NEW RESEARCH BUILDING 77 AVE LOUIS PASTEUR,MA,CLOSED,"Officer dispatched to take a report of an attempted theft. Officer arrived and spoke to the reporting party who stated upon arrival they noticed items moved around their office and a suspicious note on their desk. The reporting party stated nothing is missing.
Update 6/26/13: This case is closed pending any further information."
2013-0006250,5/8/13,5/8/2013  8:15:00AM,TRESPASS WARNING,Suspicious activity,HARVARD SQUARE 1 HARVARD SQ,MA,CLOSED,Officer dispatched to take a report of suspicious activity. Officer arrived and spoke to the individual who stated as they were exiting the subway they bumped into an unknown individual. The reporting party stated that the unknown individual then followed them into the building and then left the area. Officer searched the area and located the individual. A field interview was conducted and the individual was run for wants/warrants with negative results and sent on their way with a trespass warning for Holyoke Center.
2013-0006255,5/8/13,10/8/2012 To 5/8/2013 9:00:00AM To 12:00:00PM,THEFT REPORT,Theft,CURRIER HOUSE A 64 LINNAEAN ST,MA,CLOSED,Officer dispatched to take a report of a stolen blue mountain bicycle valued at $100.00 and a U-lock bicycle lock valued at $20.00. There were no suspicious individuals seen in the area at the time of the theft.
2013-0006261,5/8/13,5/8/2013  8:16:00PM,UNWANTED GUEST,Suspicious activity,FAIRFAX HALL 1306 MASSACHUSETTS AVE,MA,CLOSED,Officer dispatched to a report of an individual asking passersby for money. Officer arrived and report the individual is gone on arrival.
2013-0006263,5/8/13,5/7/2013  8:00:00PM To  8:15:00PM,THEFT REPORT,Theft,NORTH HALL 1651 MASSACHUSETTS AVE,MA,CLOSED,Officer dispatched to take a report of a stolen unattended and unsecured black and brown LongChamp tote bag valued at $150.00.
2013-0006267,5/8/13,5/8/2013  7:45:00PM To  9:48:00PM,THEFT REPORT,Theft,SEVER HALL 25 HARVARD YARD,MA,CLOSED,Officer dispatched to take a report of a stolen white Jamis mountain bicycle valued at $700.00. There were no suspicious individuals seen in the area at the time of the theft.
2013-0006269,5/8/13,5/8/2013 10:16:00PM,SKATEBOARD/BIKE COMPLAINT,Suspicious activity,WASSERSTEIN HALL 1585 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of individuals skateboarding in the area. Officers arrived and sent the individuals on their way.
2013-0006274,5/9/13,5/9/2013  2:43:00AM,LOUD PARTY,Noise,SPEE CLUB 76 MT AUBURN ST,MA,CLOSED,Officers dispatched to a report of loud music. Officers determined the music was coming from the Spee Club and advised the individuals to turn the music off.
2013-0006277,5/9/13,5/9/2013  9:22:00AM,DISTURBANCE,Disturbance,GUND HALL 48 QUINCY ST,MA,CLOSED,Officers dispatched to a report of three individuals fighting in the area. Officers report the individuals were having a verbal argument and the individuals were sent on their way.
2013-0006290,5/9/13,5/9/2013  4:00:00AM To  4:30:00AM,THEFT REPORT,Theft,LAMONT LIBRARY 11 QUINCY ST,MA,CLOSED,"Officer dispatched to take a report of a stolen unattended and unsecured Dell Inspiron laptop valued at $350.00.
UPDATE 5/14/13: Pending any further information this case is closed."
2013-0006293,5/9/13,5/9/2013 12:54:00PM To  1:39:00PM,DEMONSTRATION,Disturbance,MASSACHUSETTS HALL 11 HARVARD YARD,MA,CLOSED,Officers stood by during a demonstration that went without incident.
2013-0006297,5/9/13,5/9/2013  2:47:00PM,SUSPICIOUS MAIL/ PACKAGE/BAG,Suspicious activity,HAUSER HALL 1575 MASSACHUSETTS AVE,MA,CLOSED,"Officers along with Cambridge Fire, Cambridge Police and Boston Hazmat were dispatched to a report that an individual opened a piece of mail and a white powdery substance came out from inside the letter. Officers report the individual was decontaminated immediately and did not experience any strange symptoms. Officers evacuated the 5th floor of the building and stood by the office until testing could be completed on the substance. The substance tested negative for any hazards and the building was deemed safe for reentry."
2013-0006313,5/9/13,5/9/2013 10:28:00PM,SUSPICIOUS MAIL/ PACKAGE/BAG,Suspicious activity,DUNSTER HOUSE D 935 MEMORIAL DR,MA,CLOSED,Officer dispatched to a repot of a suspicious bag in the area. Officer reports the bag had trash in it and was properly disposed.
2013-0006318,5/10/13,5/10/2013 12:13:00AM,ASSIST CAMBRIDGE POLICE,Other, 1286 MASSACHUSETTS AVE,MA,CLOSED,Officer assisted CPD with a motor vehicle accident.
2013-0006320,5/10/13,5/10/2013 12:23:00AM,HARASSMENT,Harassment,KIRKLAND HOUSE G 95 DUNSTER ST,MA,CLOSED,"Officer dispatched to take a report of an individual receiving harassing phone calls.
Update 5/28/13: This case is closed pending any further information."
2013-0006322,5/10/13,5/10/2013  1:32:00AM,NOISE COMPLAINT,Noise,HASKINS HALL (28-34A) 28 IRVING ST,MA,CLOSED,Officers dispatched to a report of a loud noise coming from a television. Officers arrived and report all is quiet and in order.
2013-0006329,5/10/13,5/10/2013  9:34:00AM,TRESPASS WARNING,Suspicious activity,BIOLOGY LAB 16 DIVINITY AVE,MA,CLOSED,Officers dispatched to a report of an individual acting suspiciously inside of the building. Officers arrived and located the individual. A field interview was conducted and the individual was run for wants/warrants with negative results and sent on their way with a trespass warning for all Harvard University property.
2013-0006330,5/10/13,5/10/2013 10:24:00AM,UNWANTED GUEST,Suspicious activity,FAS OFFICES 60 JFK ST,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers arrived and sent the individual on their way.
2013-0006339,5/10/13,5/10/2013 12:25:00PM,ASSIST CAMBRIDGE POLICE,Other,POUND BUILDING 1563 MASSACHUSETTS AVE,MA,CLOSED,Officer assisted CPD in searching the area for an individual that was observed rummaging through a motor vehicle. Officers searched the area for the individual with negative results.
2013-0006349,5/10/13,5/10/2013  2:00:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,WIDENER LIBRARY 31 HARVARD YARD,MA,CLOSED,Officer dispatched to a report of an individual acting suspiciously. Officer arrived and searched the area for the individual with negative results.
2013-0006350,5/10/13,5/10/2013 12:30:00PM To  1:00:00PM,VANDALISM,Suspicious activity,LITTAUER CENTER LOT 1805 CAMBRIDGE ST,MA,CLOSED,Officer dispatched to take a report of vandalism done to a motor vehicle. Officer arrived and spoke to the reporting party who stated that upon arrival they observed that an unknown individual(s) had keyed the right side of their motor vehicle. No suspicious individuals were seen in the area at the time of the incident.
2013-0006356,5/10/13,8/10/2006 To 5/10/2013 3:50:00PM To  3:50:00PM,ANNOYING CALLS/TEXTS/EMAILS,Disturbance,BARKER CENTER 12 QUINCY ST,MA,CLOSED,Officer dispatched to take a report of an individual receiving annoying phone calls.
2013-0006359,5/10/13,5/9/2013 To 5/10/2013 4:00:00PM To  4:30:00PM,THEFT REPORT,Theft,SCIENCE CENTER 1 OXFORD ST,MA,CLOSED,Officer dispatched to take a report of a stolen black Schwinn mountain bicycle valued at $200.00 and a combination bicycle lock valued at $20.00 There were no suspicious individuals seen in the area at the time of the theft.
2013-0006361,5/10/13,5/10/2013  5:04:00PM,THEFT REPORT,Theft,LITTAUER CENTER 1805 CAMBRIDGE ST,MA,CLOSED,Officer dispatched to take a report of $800.00 unattended and unsecured cash that was stolen.
2013-0006365,5/10/13,5/10/2013  8:50:00PM,MOTOR VEHICLE ACCIDENT,Other,BUSINESS SCHOOL LOT 112 WESTERN AVE,MA,CLOSED,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.
2013-0006370,5/10/13,5/10/2013 10:45:00PM,ASSIST STATE POLICE,Other,WEEKS BRIDGE 1 MEMORIAL DR,MA,CLOSED,Officer dispatched to assist the Massachusetts State Police with a group of individuals on the bridge and reportedly swimming in the area. Officer arrived and reports there is a group in the area but nobody is on the bridge or attempting to swim in the area.
2013-0006373,5/10/13,5/10/2013 11:59:00PM,NOISE COMPLAINT,Noise,FAIRFAX HALL 1306 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of individuals making noise in the area.  Officers arrived and report the individuals are gone on arrival.
2013-0006374,5/11/13,5/11/2013 12:13:00AM,HAZARDOUS CONDITION,Other,GUND HALL 48 QUINCY ST,MA,CLOSED,Officers dispatched to a report of a water main break. Officers arrived and report all is in order and could not locate the break.
2013-0006376,5/11/13,5/11/2013 12:50:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,SCIENCE CENTER 1 OXFORD ST,MA,CLOSED,Officers dispatched to a report of tire marks on a bench that were made by individuals skateboarding that had left the area. Officers arrived and report no damage was done and the tire marks were wiped off.
2013-0006378,5/11/13,5/11/2013  1:32:00AM,SUSPICIOUS ACTIVITY,Suspicious activity, MILL ST / PLYMPTON ST,MA,CLOSED,Officers dispatched to a report of individuals on the roof. Officers arrived and report the individuals are gone on arrival.
2013-0006383,5/11/13,5/11/2013  3:00:00AM,LOUD PARTY,Noise,PEABODY TERRACE 11 900 MEMORIAL DR,MA,CLOSED,Offices dispatched to a report of a loud party in room 303. Officers arrived and told the occupants to turn the stereo off.
2013-0006388,5/11/13,5/11/2013  7:47:00AM,ASSIST CAMBRIDGE POLICE,Other, QUINCY ST / BROADWAY,MA,CLOSED,gate open
2013-0006397,5/11/13,5/11/2013  2:34:00PM,FIELD INTERVIEW,Other,WELD BOATHOUSE 971 MEMORIAL DR,MA,CLOSED,"Officers dispatched to a report of an individual sleeping on the exterior windowsill. Officers arrived, spoke to the individual and sent them on their way."
2013-0006401,5/11/13,5/11/2013  5:01:00PM,ASSIST CAMBRIDGE POLICE,Other, IRVING ST / KIRKLAND ST,MA,CLOSED,Officer dispatched to assist CPD in searching the area for an individual acting suspiciously in a motor vehicle. Officers arrived and searched the area with negative results.
2013-0006402,5/11/13,5/11/2013  2:30:00PM To  3:00:00PM,LOST PROPERTY,Theft,AU BON PAIN 1360 MASSACHUSETTS AVE,MA,CLOSED,"Officer dispatched to take a report of stolen unattended and unsecured tax paperwork.
Update 5/24/13: The reporting individual informed the officer they located their documents which were not stolen but misplaced. This incident has been reclassified from a theft report to lost property and is closed pending any further information."
2013-0006408,5/11/13,5/11/2013 11:20:00PM,UNWANTED GUEST,Suspicious activity,RIDGLEY HALL 65 MT AUBURN ST,MA,CLOSED,Officers dispatched to a report of an unwanted guest near the entrance. Officers arrived and report the individual is gone on arrival.
2013-0006409,5/11/13,5/11/2013 11:41:00PM,NOISE COMPLAINT,Noise,1 WESTERN AVENUE ,MA,CLOSED,Officers dispatched to a report of loud noise coming from room 252. Officers arrived and told the occupants to keep the noise down.
2013-0006410,5/12/13,5/12/2013 12:11:00AM To  1:00:00AM,ASSAULT REPORT,Violence, MT AUBURN ST/ HOLYOKE PL,MA,OPEN,"Officers dispatched to a report of an assault. Officers arrived and spoke to the two reporting parties who stated they observed a group of individuals throwing beer bottles and arguing. The two individuals then approached the group and attempted to stop the arguing when the group threw the two individuals to the ground and repeatedly punched and kicked them. The group of individuals then fled the area. EMS arrived and transported the two individuals to a medical facility.
Update 11/22/13: The location of the incident has been updated to reflect where the incident occurred."
2013-0006412,5/12/13,5/12/2013  1:16:00AM,LOUD PARTY,Noise,ADVOCATE 21 SOUTH ST,MA,CLOSED,Officers dispatched to a report of a loud party. Officers arrived and told the occupants to turn the music down.
2013-0006413,5/12/13,5/12/2013  1:48:00AM,NOISE COMPLAINT,Noise,LEVERETT HOUSE A 8 MILL ST,MA,CLOSED,Officers dispatched to a report of an individual banging pots and pans outside. Officers arrived and reports all is quiet and in order.
2013-0006415,5/12/13,5/12/2013  4:15:00AM,UNWANTED GUEST,Suspicious activity,THAYER GATE 51 HARVARD YARD,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers arrived and sent the individual on their way.
2013-0006434,5/12/13,5/12/2013  9:07:00PM,UNWANTED GUEST,Suspicious activity,MAC MALKIN ATHLETIC CENTER LOT 41 HOLYOKE ST,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers arrived and sent the individual on their way.
2013-0006438,5/12/13,5/12/2013 10:41:00PM,UNWANTED GUEST,Suspicious activity,"WCC, WASSERSTEIN HALL 1585 MASSACHUSETTS AVE",MA,CLOSED,Officers dispatched to a report of an unwanted guest sleeping on the couch. Officers arrived and report the individual is gone on arrival.
2013-0006444,5/13/13,5/13/2013  1:27:00AM,UNWANTED GUEST,Suspicious activity,CLAVERLY HALL 63 MT AUBURN ST,MA,CLOSED,Officer dispatched to a report of an unwanted guest. Officer arrived and sent the individual on their way.
2013-0006448,5/13/13,5/13/2013  6:56:00AM,NOISE COMPLAINT,Noise,VANDERBILT HALL 107 AVE LOUIS PASTEUR,MA,CLOSED,Officer dispatched to a report that an alarm clock has been going off for an extended amount of time. Officer arrived and shut off the alarm clock.
2013-0006449,5/13/13,5/13/2013 10:21:00AM,UNWANTED GUEST,Suspicious activity,OFFICE FOR THE ARTS 74 MT AUBURN ST,MA,CLOSED,Officers dispatched to a report of an individual sleeping in the area. Officers arrived and sent the individual on their way.
2013-0006481,5/13/13,5/13/2013 11:00:00AM To 11:30:00AM,ASSIST OTHER PD,Other," CAMBRIDGE, MASS",MA,CLOSED,Officer assisted the MBTA police in taking a report of a lost cell phone.
2013-0006483,5/13/13,3/1/2013 To 5/13/2013 9:00:00AM To  3:30:00PM,THEFT REPORT,Theft,SPH SCHOOL OF PUBLIC HEALTH 2 665 HUNTINGTON AVE,MA,CLOSED,"Officer dispatched to take a report of a stolen Flowjo Dongle USB valued at $1500.00.
Update 6/17/13: This case is closed pending any further information."
2013-0006494,5/14/13,5/14/2013 12:25:00AM,NOISE COMPLAINT,Noise,95 PRESCOTT STREET ,MA,CLOSED,Officers dispatched to a report of loud noise. Officers instructed the occupants of an apartment in the basement to keep the noise down.
2013-0006497,5/14/13,5/14/2013  2:03:00AM,NOISE COMPLAINT,Noise,WINTHROP HOUSE C 32 MILL ST,MA,CLOSED,Officers dispatched to a report of a piano being played. Officers arrived and the individual playing the piano informed they would stop for the night.
2013-0006499,5/14/13,5/14/2013  7:02:00AM,UNWANTED GUEST,Suspicious activity,WESTENGAARD HOUSE 3 GARDEN ST,MA,CLOSED,Officers dispatched to a report of three unwanted guests in the garage. Officers arrived and report the individuals were leaving and they were instructed not to return to the area.
2013-0006501,5/14/13,5/14/2013  8:39:00AM,UNWANTED GUEST,Suspicious activity,HOLYOKE CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest sleeping on a bench. Officers arrived and sent the individual on their way.
2013-0006502,5/14/13,5/14/2013  3:16:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,PIERCE HALL 29 OXFORD ST,MA,CLOSED,Officer dispatched to take a report that an individual received a suspicious e-mail.
2013-0006510,5/14/13,5/14/2013  3:07:00PM,ANNOYING CALLS/TEXTS/EMAILS,Disturbance,SPH SCHOOL OF PUBLIC HEALTH 1 665 HUNTINGTON AVE,MA,CLOSED,Officer dispatched to a report that an individual was receiving annoying calls. The reporting individual informed the officer they did not wish to pursue the matter at this time.
2013-0006512,5/14/13,5/14/2013  3:28:00PM To  3:45:00PM,DEMONSTRATION,Disturbance,MASSACHUSETTS HALL 11 HARVARD YARD,MA,CLOSED,Officers stood by during a demonstration that went without incident.
2013-0006516,5/14/13,5/14/2013  5:12:00PM,UNWANTED GUEST,Suspicious activity,AU BON PAIN 1360 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers arrived and sent the individual on their way.
2013-0006523,5/15/13,5/15/2013 12:12:00AM,NOISE COMPLAINT,Noise,ADVOCATE 21 SOUTH ST,MA,CLOSED,Officers dispatched to a report of loud noise. Officers arrived and told the occupants to keep the noise down.
2013-0006527,5/15/13,5/15/2013  3:55:00AM,NOISE COMPLAINT,Noise,MORRIS HALL 14 HARVARD WAY,MA,CLOSED,Officers dispatched to a report of loud music on the third floor. Officers arrived and report all is quiet and in order.
2013-0006535,5/15/13,5/15/2013  9:00:00AM,SUSPICIOUS MAIL/ PACKAGE/BAG,Suspicious activity,1 WESTERN AVE GARAGE 1 WESTERN AVE,MA,CLOSED,Officers dispatched to a report of an unattended bag. Officers arrived and report all the items in the bag were being discarded by Waste Management.
2013-0006542,5/15/13,5/10/2013 To 5/14/2013 7:00:00AM To  7:00:00PM,THEFT REPORT,Theft,HASKINS HALL (28-34A) 28 IRVING ST,MA,CLOSED,Officer dispatched to take a report of a stolen unattended and unsecured mail package that contained a pair of black Warby Parker eye glasses valued at $100.00.
2013-0006546,5/15/13,5/15/2013  2:13:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,MASSACHUSETTS HALL 11 HARVARD YARD,MA,CLOSED,Officer dispatched to take a report that an individual received a suspicious letter.
2013-0006549,5/15/13,5/15/2013  4:14:00PM,UNWANTED GUEST,Suspicious activity,ANNENBERG HALL 18 KIRKLAND ST,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers arrived and sent the individual on their way.
2013-0006192,5/15/13,5/15/2013  8:00:00PM,FIELD INTERVIEW,Other,JFK PARK 968 MEMORIAL DR,MA,CLOSED,While on directed patrol officers observed three individuals acting suspiciously. A field interview was conducted and the individuals were found to be in possession of marijuana. Officers confiscated the marijuana and sent the individuals on their way.
2013-0006560,5/16/13,5/16/2013  1:57:00AM,NOISE COMPLAINT,Noise,SFP SOLDIERS FIELD PARK 01 111 WESTERN AVE,MA,CLOSED,Officers dispatched to a report of loud noise. Officers arrived and report the noise was from individuals on the balcony. Officers told the individuals to keep the noise down.
2013-0006561,5/16/13,5/16/2013  2:33:00AM,NOISE COMPLAINT,Noise,SPEE CLUB 76 MT AUBURN ST,MA,CLOSED,Officers dispatched to a report of loud music. Officers arrived and report the music was coming from outside and has been turned off.
2013-0006568,5/16/13,5/16/2013  9:07:00AM,UNWANTED GUEST,Suspicious activity,HARKNESS COMMONS 14 EVERETT ST,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers arrived and sent the individual on their way.
2013-0006569,5/16/13,3/20/2013 To 5/16/2013 9:00:00AM To  9:00:00AM,THEFT REPORT,Theft,WARREN ALPERT BUILDING 200 LONGWOOD AVE,MA,CLOSED,"Officer dispatched to take a report of a stolen red Treestar Dongel computer  thumb drive valued at $1995.00.
Update 6/7/13: This case is closed pending any further information."
2013-0006572,5/16/13,4/25/2013 To 5/9/201312:01:00AM To  2:00:00PM,THEFT REPORT,Theft,C1 BUILDING - HARVARD MEDICAL 240 LONGWOOD AVE,MA,CLOSED,Officer dispatched to take a report that 5.0ml of Ketamine valued at $200.00 was stolen.
2013-0006574,5/16/13,5/16/2013 10:13:00AM,UNWANTED GUEST,Suspicious activity,LARSEN HALL 14 APPIAN WAY,MA,CLOSED,Officers dispatched to a report of an unwanted guest in the building. Officers arrived and sent the individual on the way.
2013-0006582,5/16/13,5/16/2013  7:30:00AM To  4:30:00PM,PROPERTY DAMAGE,Theft,SFP SOLDIERS FIELD PARK GARAGE 111 WESTERN AVE,MA,CLOSED,Officer dispatched to take a report of damage done to an individuals drivers side mirror.
2013-0006585,5/16/13,5/16/2013  6:05:00PM To  6:45:00PM,THEFT REPORT,Theft,HEMENWAY GYMNASIUM H 1515 MASSACHUSETTS AVE,MA,CLOSED,Officer dispatched to take a report of a stolen black Carrera mountain bicycle valued at $500.00. The reporting party stated their cable bicycle lock was cut and left at the scene. There were no suspicious individuals seen in the area at the time of the theft.
2013-0006591,5/16/13,5/16/2013 10:27:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,ELIOT HOUSE G 101 DUNSTER ST,MA,CLOSED,Officers dispatched to a report of an individual acting suspiciously. Officers arrived and searched the area for the individual with negative results.
2013-0006595,5/17/13,5/17/2013 12:38:00AM,FIRE,Other,MORRIS HALL 14 HARVARD WAY,MA,CLOSED,Officers dispatched to a report of a fire alarm. Officers arrived and observed the wooden window frame was on fire. The Boston Fire Department arrived on scene and extinguished the fire. Officer reports damage done to two windows in the building. Management was notified of the incident.
2013-0006597,5/17/13,5/17/2013  2:36:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,LOWELL HOUSE M 10 HOLYOKE PL,MA,CLOSED,Officer dispatched to a report of the sound of gunshots in the area. Officer arrived and reports all is quiet and in order.
2013-0006599,5/17/13,5/17/2013  3:20:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,SFP SOLDIERS FIELD PARK 06 111 WESTERN AVE,MA,CLOSED,Officers dispatched to a report of an individual yelling and two individuals walking in the construction site. Officers arrived and searched the area for the individuals with negative results.
2013-0006609,5/17/13,5/17/2013  8:09:00AM,SUSPICIOUS ODOR/SMOKE,Suspicious activity,SCIENCE CENTER 1 OXFORD ST,MA,CLOSED,Officer dispatched to a report of mulch smoldering. Officer arrived and sprayed the area with water.
2013-0006618,5/17/13,5/17/2013 11:15:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,GUND HALL 48 QUINCY ST,MA,CLOSED,Officer dispatched to a report of an individual moaning and reportedly vomiting. Officer arrived and searched area for the individual with negative results.
2013-0006622,5/17/13,5/17/2013 12:27:00PM,UNWANTED GUEST,Suspicious activity,SACKLER MUSEUM 485 BROADWAY,MA,CLOSED,Officer dispatched to a report of of an unwanted guest. Officer arrived and spoke to the reporting party who stated the individual is no longer a problem and is on the sidewalk.
2013-0006628,5/17/13,5/17/2013  3:17:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,WILLIAM JAMES HALL 33 KIRKLAND ST,MA,CLOSED,Officer dispatched to a report of an individual acting suspiciously inside of the building. Officer arrived and spoke to the reporting party who stated an unknown individual entered the building and started rambling and asked for candy. The reporting party stated  there was no candy and the individual then left the area. Officer searched the area for the individual with negative results.
2013-0006633,5/17/13,5/17/2013  2:00:00PM To  5:00:00PM,THEFT REPORT,Theft,MAXWELL DWORKIN BUILDING 33 OXFORD ST,MA,CLOSED,Officer dispatched to take a report of a stolen unattended and unsecured silver Apple MacBook pro laptop computer valued at $1500.00.
2013-0006638,5/17/13,5/17/2013  9:00:00AM To  6:30:00PM,VANDALISM,Suspicious activity,BROADWAY GARAGE 7 FELTON ST,MA,CLOSED,Officer dispatched to take a report of damage done to a vehicles passengers side view mirror.
2013-0006639,5/17/13,5/4/2013 To 5/16/2013 8:00:00AM To  6:30:00PM,SUSPICIOUS ACTIVITY,Suspicious activity, 341 BEACON ST,MA,CLOSED,"Officer took a report that an individual received a suspicious e-mail.
UPDATE 5/21/13: The times/address have been updated."
2013-0006640,5/17/13,5/17/2013  8:14:00PM,TRESPASS WARNING,Suspicious activity,JFK PARK 968 MEMORIAL DR,MA,CLOSED,Officers dispatched to a report of individuals drinking. Officers arrived and were informed that the individuals had left the area. Officers searched the area and observed one individual that fit the description given out by the reporting party.  A field interview was conducted and the individual was found to be in possession of marijuana. Officers confiscated the marijuana and sent the individual on their way with a trespass warning for all Harvard University property.
2013-0006642,5/17/13,5/17/2013  2:27:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,GUTMAN LIBRARY 6 APPIAN WAY,MA,CLOSED,"Officer dispatched to take a report that an individual received a suspicious e-mail.
UPDATE 5/21/13: The times have been updated."
2013-0006643,5/17/13,5/17/2013  9:01:00PM,REMOVE GROUP,Other,OBSERVATORY LOT 60 CONCORD AVE,MA,CLOSED,"Officers dispatched to a report of individuals on the tennis court. Officers arrived and sent the individuals on their way.
UPDATE 5/21/13: The incident has been reclassified from Suspicious Activity to Remove Group."
2013-0006651,5/18/13,5/18/2013 12:54:00AM,UNWANTED GUEST,Suspicious activity,OFFICE OF CONTINUING EDUCATION 51 BRATTLE ST,MA,CLOSED,Officers dispatched to a report of an individual sleeping in the area. Officers arrived and sent the individual on their way.
2013-0006652,5/18/13,5/18/2013  1:08:00AM,NOISE COMPLAINT,Noise,95 PRESCOTT STREET ,MA,CLOSED,Officers dispatched to a report of loud noise. Officers arrived and told the occupants to keep the noise down.
2013-0006654,5/18/13,5/18/2013  2:07:00AM,SUSPICIOUS MAIL/ PACKAGE/BAG,Suspicious activity,LAMONT LIBRARY 11 QUINCY ST,MA,CLOSED,Officers dispatched to a report of an unattended backpack. Officers arrived and report the item is trash and will be discarded.
2013-0006656,5/18/13,5/18/2013  2:56:00AM,ASSIST BOSTON POLICE,Other,BUSINESS SCHOOL LOT 112 WESTERN AVE,MA,CLOSED,"Officer dispatched to a report of a construction sign that had been ripped down. Officer arrived and reports sign is old and there is no vandalism.
UPDATE 5/21/13: This incident has been reclassified from Vandalism to Assist Boston Police."
2013-0006698,5/19/13,5/19/2013 12:20:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,RADCLIFFE QUAD 107 SHEPARD ST,MA,CLOSED,Officers dispatched to a report of an individual acting suspiciously. Officers arrived and searched the area for the individuals with negative results.
2013-0006703,5/19/13,5/19/2013 12:55:00AM,ASSIST CAMBRIDGE POLICE,Other,DELPHIC CLUB 9 LINDEN ST,MA,CLOSED,Officer assisted CPD with a noise complaint.
2013-0006708,5/19/13,5/19/2013  2:00:00AM,ASSIST CAMBRIDGE POLICE,Other,OWL CLUB 30 HOLYOKE ST,MA,CLOSED,Officer assisted CPD with sending individuals on their way.
2013-0006712,5/19/13,5/19/2013  2:38:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,LEVERETT HOUSE TOWERS G 44 DEWOLFE ST,MA,CLOSED,Officers dispatched to a report of an individual screaming. Officers arrived and searched the area for the individual with negative results.
2013-0006721,5/19/13,5/19/2013 12:01:00AM To  2:30:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,BLODGETT POOL 79 N HARVARD ST,MA,CLOSED,Officer dispatched to take a report that the locker keys have been moved to a different location.
2013-0006728,5/19/13,5/19/2013  8:49:00PM,ASSIST CAMBRIDGE POLICE,Other,SCIENCE CENTER 1 OXFORD ST,MA,CLOSED,Officer assisted CPD with an individual in need of medical assistance. The individual was transported to a medical facility.
2013-0006729,5/19/13,5/19/2013  9:35:00PM,LOUD PARTY,Noise,WELD HALL 3 HARVARD YARD,MA,CLOSED,Officers dispatched to a report of a loud party. Officers arrived and report the occupants were in the process of dispersing and agreed to quiet down.
2013-0006735,5/20/13,5/20/2013  1:46:00AM,LOUD PARTY,Noise,QUINCY HOUSE - NEW 3 DEWOLFE ST,MA,CLOSED,Officers dispatched to a report of a loud party in room 618. Officers arrived and told the occupants to turn the music off.
2013-0006736,5/20/13,5/20/2013  1:55:00AM,NOISE COMPLAINT,Noise,LEVERETT HOUSE A 8 MILL ST,MA,CLOSED,Officers dispatched to a report of loud noise. Officers arrived and report there is a group of individuals exiting the building.
2013-0006740,5/20/13,5/20/2013  3:44:00AM,UNWANTED GUEST,Suspicious activity,HOLYOKE CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an individual sleeping by the glass doors. Officers arrived and sent the individual on their way.
2013-0006746,5/20/13,5/16/2013 To 5/20/2013 8:30:00PM To 12:00:00PM,THEFT REPORT,Theft,KRESGE DINING HALL 49 HARVARD WAY,MA,CLOSED,"Officer dispatched to take a report of a theft. Officer arrived and spoke to the reporting party who stated upon arrival they observed their silver and black master lock valued at $10.00 was stolen off of their locker and their identification card, a tie valued at $20.00, a white shirt valued at $15.00, a black apron valued at $15.00 and black pants valued at $30.00 were stolen."
2013-0006748,5/20/13,5/20/2013 12:15:00PM To 12:41:00PM,THEFT REPORT,Theft,SCIENCE CENTER 1 OXFORD ST,MA,CLOSED,Officer dispatched to take a report of a stolen unattended and unsecured black Samsung Galaxy tablet valued at $250.00 and a black Samsung case valued at $50.00.
2013-0006752,5/20/13,5/15/2013  6:00:00PM To  8:00:00PM,THEFT REPORT,Theft,WASSERSTEIN HALL 1585 MASSACHUSETTS AVE,MA,CLOSED,"Officer dispatched to take a report of a stolen unattended and unsecured North Face jacket valued at $60.00 and a red wallet valued at $20.00 that contained credit cards, identification cards and a black Android cell phone valued at $150.00."
